track_id,track,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,"target (t hit, 0 flop)"
1Iq8oo9XkmmvCQiGOfORiz,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,0.596,0.658,-7.346,0.036,0.0504,0.0,0.127,0.176,1
1Iq8oo9XkmmvCQiGOfORiz,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,0.596,0.658,-7.346,0.036,0.0504,0.0,0.127,0.176,1
1Iq8oo9XkmmvCQiGOfORiz,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,0.596,0.658,-7.346,0.036,0.0504,0.0,0.127,0.176,1
1Iq8oo9XkmmvCQiGOfORiz,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,0.596,0.658,-7.346,0.036,0.0504,0.0,0.127,0.176,1
1Iq8oo9XkmmvCQiGOfORiz,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,0.596,0.658,-7.346,0.036,0.0504,0.0,0.127,0.176,1
1Iq8oo9XkmmvCQiGOfORiz,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,0.596,0.658,-7.346,0.036,0.0504,0.0,0.127,0.176,1
1Iq8oo9XkmmvCQiGOfORiz,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,0.596,0.658,-7.346,0.036,0.0504,0.0,0.127,0.176,1
1Iq8oo9XkmmvCQiGOfORiz,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,0.596,0.658,-7.346,0.036,0.0504,0.0,0.127,0.176,1
1Iq8oo9XkmmvCQiGOfORiz,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,0.596,0.658,-7.346,0.036,0.0504,0.0,0.127,0.176,1
1Iq8oo9XkmmvCQiGOfORiz,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,0.596,0.658,-7.346,0.036,0.0504,0.0,0.127,0.176,1
1Iq8oo9XkmmvCQiGOfORiz,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,0.596,0.658,-7.346,0.036,0.0504,0.0,0.127,0.176,1
1Iq8oo9XkmmvCQiGOfORiz,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,0.596,0.658,-7.346,0.036,0.0504,0.0,0.127,0.176,1
1Iq8oo9XkmmvCQiGOfORiz,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,0.596,0.658,-7.346,0.036,0.0504,0.0,0.127,0.176,1
1Iq8oo9XkmmvCQiGOfORiz,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,0.596,0.658,-7.346,0.036,0.0504,0.0,0.127,0.176,1
5KD6AEm19QnMbfWpfoOHMl,Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,0.793,0.512,-9.319,0.0338,0.186,3.81e-05,0.0889,0.0662,1
5KD6AEm19QnMbfWpfoOHMl,Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,0.793,0.512,-9.319,0.0338,0.186,3.81e-05,0.0889,0.0662,1
5KD6AEm19QnMbfWpfoOHMl,Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,0.793,0.512,-9.319,0.0338,0.186,3.81e-05,0.0889,0.0662,1
5KD6AEm19QnMbfWpfoOHMl,Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,0.793,0.512,-9.319,0.0338,0.186,3.81e-05,0.0889,0.0662,1
5KD6AEm19QnMbfWpfoOHMl,Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,0.793,0.512,-9.319,0.0338,0.186,3.81e-05,0.0889,0.0662,1
5KD6AEm19QnMbfWpfoOHMl,Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,0.793,0.512,-9.319,0.0338,0.186,3.81e-05,0.0889,0.0662,1
5KD6AEm19QnMbfWpfoOHMl,Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,0.793,0.512,-9.319,0.0338,0.186,3.81e-05,0.0889,0.0662,1
5KD6AEm19QnMbfWpfoOHMl,Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,0.793,0.512,-9.319,0.0338,0.186,3.81e-05,0.0889,0.0662,1
5KD6AEm19QnMbfWpfoOHMl,Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,0.793,0.512,-9.319,0.0338,0.186,3.81e-05,0.0889,0.0662,1
5KD6AEm19QnMbfWpfoOHMl,Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,0.793,0.512,-9.319,0.0338,0.186,3.81e-05,0.0889,0.0662,1
5KD6AEm19QnMbfWpfoOHMl,Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,0.793,0.512,-9.319,0.0338,0.186,3.81e-05,0.0889,0.0662,1
5KD6AEm19QnMbfWpfoOHMl,Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,0.793,0.512,-9.319,0.0338,0.186,3.81e-05,0.0889,0.0662,1
5KD6AEm19QnMbfWpfoOHMl,Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,0.793,0.512,-9.319,0.0338,0.186,3.81e-05,0.0889,0.0662,1
5KD6AEm19QnMbfWpfoOHMl,Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,0.793,0.512,-9.319,0.0338,0.186,3.81e-05,0.0889,0.0662,1
1Iq8oo9XkmmvCQiGOfORiz,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,0.596,0.658,-7.346,0.036,0.0504,0.0,0.127,0.176,1
1Iq8oo9XkmmvCQiGOfORiz,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,0.596,0.658,-7.346,0.036,0.0504,0.0,0.127,0.176,1
1Iq8oo9XkmmvCQiGOfORiz,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,0.596,0.658,-7.346,0.036,0.0504,0.0,0.127,0.176,1
5KD6AEm19QnMbfWpfoOHMl,Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,0.793,0.512,-9.319,0.0338,0.186,3.81e-05,0.0889,0.0662,1
5KD6AEm19QnMbfWpfoOHMl,Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,0.793,0.512,-9.319,0.0338,0.186,3.81e-05,0.0889,0.0662,1
5KD6AEm19QnMbfWpfoOHMl,Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,0.793,0.512,-9.319,0.0338,0.186,3.81e-05,0.0889,0.0662,1
5KD6AEm19QnMbfWpfoOHMl,Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,0.793,0.512,-9.319,0.0338,0.186,3.81e-05,0.0889,0.0662,1
5KD6AEm19QnMbfWpfoOHMl,Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,0.793,0.512,-9.319,0.0338,0.186,3.81e-05,0.0889,0.0662,1
71BqAINEnezjQfxE4VuJfq,"""Slut!"" (Taylor's Version) (From The Vault)",Taylor Swift,0.629,0.413,-13.178,0.055,0.345,7.62e-05,0.0603,0.306,1
71BqAINEnezjQfxE4VuJfq,"""Slut!"" (Taylor's Version) (From The Vault)",Taylor Swift,0.629,0.413,-13.178,0.055,0.345,7.62e-05,0.0603,0.306,1
71BqAINEnezjQfxE4VuJfq,"""Slut!"" (Taylor's Version) (From The Vault)",Taylor Swift,0.629,0.413,-13.178,0.055,0.345,7.62e-05,0.0603,0.306,1
71BqAINEnezjQfxE4VuJfq,"""Slut!"" (Taylor's Version) (From The Vault)",Taylor Swift,0.629,0.413,-13.178,0.055,0.345,7.62e-05,0.0603,0.306,1
71BqAINEnezjQfxE4VuJfq,"""Slut!"" (Taylor's Version) (From The Vault)",Taylor Swift,0.629,0.413,-13.178,0.055,0.345,7.62e-05,0.0603,0.306,1
71BqAINEnezjQfxE4VuJfq,"""Slut!"" (Taylor's Version) (From The Vault)",Taylor Swift,0.629,0.413,-13.178,0.055,0.345,7.62e-05,0.0603,0.306,1
